ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000072553	1	3	1	0	0	0	Gm525
ENSMUSG00000045467	14	17	13	11	21	11	Ttll13
ENSMUSG00000077574	1	0	0	0	0	0	Gm24887
ENSMUSG00000077575	27	15	10	16	20	6	Gm24888
ENSMUSG00000030022	433	462	493	267	504	293	Adamts9
ENSMUSG00000024128	1	0	0	0	0	0	Sbp
ENSMUSG00000030020	1182	1268	1037	1252	1852	1193	Prickle2
ENSMUSG00000029490	435	415	317	521	601	303	Mfsd7a
ENSMUSG00000040907	67	20	38	16	36	39	Atp1a3
ENSMUSG00000027068	501	503	347	1498	2017	478	Dhrs9
ENSMUSG00000030029	3478	2931	2817	2790	4162	3005	Lrig1
ENSMUSG00000040675	176	478	149	252	329	217	Mthfd1l
ENSMUSG00000040901	0	0	2	0	0	1	Kcnk18
ENSMUSG00000027067	3252	3446	2611	3004	4530	3782	Ssrp1
ENSMUSG00000077578	2	1	0	0	0	0	Gm25631
ENSMUSG00000051154	982	949	705	747	1203	657	Commd3
ENSMUSG00000014748	3608	2187	2878	1351	2233	2473	Tex261
ENSMUSG00000045466	196	231	108	136	250	138	Zfp956
ENSMUSG00000063145	80	128	61	101	127	61	Bbs5
ENSMUSG00000063146	820	588	666	315	688	628	Clip2
ENSMUSG00000014747	5	9	6	3	4	4	Ankrd53
ENSMUSG00000038252	2150	1573	1780	1538	2808	2358	Ncapd2
ENSMUSG00000063142	292	163	235	47	143	126	Kcnma1
ENSMUSG00000018868	1603	1855	1577	900	1276	884	Pnpla5
ENSMUSG00000119759	1	0	0	0	0	0	Gm23730
ENSMUSG00000038253	0	0	0	1	0	0	Hoxa5
ENSMUSG00000029491	6	8	9	7	8	5	Pde6b
ENSMUSG00000048076	11321	8150	9408	7455	10413	9721	Arf1
ENSMUSG00000039501	1386	1227	1166	871	1962	1475	Znfx1
ENSMUSG00000066515	0	0	0	9	4	1	Klk1b3
ENSMUSG00000022263	2454	2414	2468	1883	3340	2170	Trio
ENSMUSG00000048078	3083	2449	2405	1921	2954	2079	Tenm4
ENSMUSG00000119757	2	0	0	0	0	0	Gm24448
ENSMUSG00000039509	561	708	616	566	956	750	Nup133
ENSMUSG00000000876	3938	1855	3620	1014	1757	2287	Pxmp4
ENSMUSG00000031880	70	32	74	29	43	64	Rrad
ENSMUSG00000031881	1	1	0	1	0	2	Cdh16
ENSMUSG00000031886	20	34	16	7	24	13	Ces2e
ENSMUSG00000031887	493	358	397	377	508	435	Tradd
ENSMUSG00000055670	1826	1818	1636	1754	2827	1546	Zzef1
ENSMUSG00000006442	1045	887	815	654	1059	1000	Srm
ENSMUSG00000038257	0	0	0	1	0	0	Glra3
ENSMUSG00000006445	1939	1469	1396	1484	2283	1367	Epha2
ENSMUSG00000040836	232	255	177	489	805	527	Gpr161
ENSMUSG00000071662	920	700	659	535	887	645	Polr2g
ENSMUSG00000071660	735	898	576	766	1302	699	Ttc9c
ENSMUSG00000071661	102	74	90	51	71	61	Zbtb3
ENSMUSG00000040018	988	694	736	494	663	800	Cox15
ENSMUSG00000095195	0	0	1	0	0	0	Gm3005
ENSMUSG00000085025	1	1	1	0	0	0	Gm13715
ENSMUSG00000040016	84	90	77	45	96	105	Ptger3
ENSMUSG00000087739	6	3	4	5	11	3	Gm24644
ENSMUSG00000040010	1987	1770	1285	1282	2085	1998	Slc7a5
ENSMUSG00000040013	0	0	2	0	0	0	Fkbp6
ENSMUSG00000061894	187	163	145	123	213	174	Zscan20
ENSMUSG00000056899	64	42	45	24	35	37	Immp2l
ENSMUSG00000043223	0	1	0	0	0	0	Gm4835
ENSMUSG00000030446	29	36	46	53	94	25	Zfp273
ENSMUSG00000061898	380	412	222	535	673	299	Rbak
ENSMUSG00000009633	129	152	121	51	95	109	G0s2
ENSMUSG00000009013	10893	6622	9299	6684	10886	9552	Dynll1
ENSMUSG00000073755	1082	807	933	426	602	876	5730409E04Rik
ENSMUSG00000073208	0	0	0	1	0	0	Speer4c
ENSMUSG00000073209	3	2	2	2	1	3	Klf14
ENSMUSG00000024048	8968	7261	8695	5522	9308	8789	Myl12a
ENSMUSG00000023827	2544	1930	2053	1975	2894	2174	Agpat4
ENSMUSG00000043289	5	6	7	2	5	3	Mei4
ENSMUSG00000021327	2145	2294	771	2091	3745	1030	Zkscan3
ENSMUSG00000022781	2866	2367	2275	2015	3429	2651	Pak2
ENSMUSG00000021814	6307	4390	4533	5122	7468	5404	Anxa7
ENSMUSG00000031089	704	765	577	1666	1605	451	Slc6a14
ENSMUSG00000084379	0	1	2	0	0	0	Gm12957
ENSMUSG00000022787	355	273	265	271	379	280	Wdr53
ENSMUSG00000022789	1182	1181	956	1807	2927	1009	Dnm1l
ENSMUSG00000022788	801	813	991	1151	1224	541	Fgd4
ENSMUSG00000083371	1	0	1	0	1	0	Gm11422
ENSMUSG00000089210	0	0	0	1	0	0	Gm23386
ENSMUSG00000021917	2420	1566	2148	1370	1884	1804	Spcs1
ENSMUSG00000084373	1	2	0	0	0	1	Rps2-ps4
ENSMUSG00000026335	2692	2942	2299	1789	2657	2446	Pam
ENSMUSG00000003992	1211	1026	1082	988	1340	1072	Ssbp2
ENSMUSG00000067399	21	12	17	4	12	4	Trim43c
ENSMUSG00000015176	1269	1510	1418	1486	2332	2198	Nolc1
ENSMUSG00000026333	84	99	73	134	157	75	Gin1
ENSMUSG00000023781	2	5	2	1	4	1	Hes7
ENSMUSG00000070953	370	354	296	288	447	395	Rabepk
ENSMUSG00000026339	388	558	437	519	913	456	Ccdc93
ENSMUSG00000025528	1	0	0	1	0	0	2010106E10Rik
ENSMUSG00000025529	100	108	101	201	204	57	Zfp711
ENSMUSG00000034108	742	595	695	444	658	566	Ccs
ENSMUSG00000034109	2476	2658	2418	2843	4347	2093	Golim4
ENSMUSG00000028800	2467	2144	1851	2071	3201	2537	Hdac1
ENSMUSG00000028801	8	6	5	9	10	6	Stpg1
ENSMUSG00000045503	622	436	509	362	541	493	Sys1
ENSMUSG00000025592	17	18	17	16	22	5	Dach2
ENSMUSG00000061762	6	8	5	13	1	1	Tac1
ENSMUSG00000034101	9983	8690	7753	9615	14178	10804	Ctnnd1
ENSMUSG00000028807	199	144	150	108	172	130	Zbtb8a
ENSMUSG00000094701	0	0	1	0	0	0	Olfr916
ENSMUSG00000021361	1865	1226	1682	1103	1511	1507	Tmem14c
ENSMUSG00000094707	3	5	1	4	1	1	A830019P07Rik
ENSMUSG00000056328	30568	25523	25882	10322	19676	22289	Myh1
ENSMUSG00000005936	2333	2066	1836	1686	2776	2232	Kctd20
ENSMUSG00000065734	12	15	10	11	14	11	Snord49a
ENSMUSG00000022439	59	51	51	42	75	69	Parvg
ENSMUSG00000022438	1084	637	752	201	425	551	Parvb
ENSMUSG00000065732	0	0	0	1	0	1	Gm24492
ENSMUSG00000022433	3981	2971	2787	3617	5352	2772	Csnk1e
ENSMUSG00000029312	633	501	507	415	684	520	Klhl8
ENSMUSG00000029311	387	476	351	290	420	352	Hsd17b11
ENSMUSG00000029310	1019	705	868	520	827	812	Nudt9
ENSMUSG00000022437	3331	2476	2705	1816	2568	2665	Samm50
ENSMUSG00000065738	12	18	8	34	27	7	Gm24494
ENSMUSG00000022434	137	173	117	113	182	130	Fam118a
ENSMUSG00000003199	1268	883	1100	652	1020	985	Mpnd
ENSMUSG00000003198	62	81	85	133	186	70	Zfp959
ENSMUSG00000047547	7354	4978	5442	5006	7459	5891	Cltb
ENSMUSG00000027808	4350	2921	2920	2920	4573	3646	Serp1
ENSMUSG00000003190	186	153	135	146	203	147	Bcl2l12
ENSMUSG00000049709	1386	1673	1084	1335	2243	969	Nlrp10
ENSMUSG00000036854	10095	4660	5698	1264	2774	3924	Hspb6
ENSMUSG00000036855	0	1	0	0	0	0	Gjd4
ENSMUSG00000042734	917	456	684	203	359	387	Ttc9
ENSMUSG00000032077	410	352	373	316	492	458	Bud13
ENSMUSG00000036850	694	531	526	460	711	633	Mrpl41
ENSMUSG00000025789	154	96	148	53	95	68	St8sia2
ENSMUSG00000036853	11	22	19	14	26	12	Mcoln3
ENSMUSG00000025784	3458	2732	3715	990	1810	2431	Clec3b
ENSMUSG00000025785	495	569	425	542	851	506	Exosc7
ENSMUSG00000025786	3543	2759	2642	2475	3817	3051	Zdhhc3
ENSMUSG00000025787	12	19	10	15	12	8	Tgm4
ENSMUSG00000025780	2163	2854	2278	1391	2471	1495	Itih5
ENSMUSG00000025781	6427	5671	4343	3819	6136	4776	Atp5c1
ENSMUSG00000025782	501	296	376	242	431	361	Taf3
ENSMUSG00000085684	2	5	1	2	2	3	4930469K13Rik
ENSMUSG00000007476	359	241	265	194	287	276	Lrrc8a
ENSMUSG00000053317	1026	599	1037	724	969	912	Sec61b
ENSMUSG00000098138	0	1	1	0	0	0	Gm9081
ENSMUSG00000009114	3	3	6	1	1	4	2610028H24Rik
ENSMUSG00000053310	29	32	21	11	26	15	Nrgn
ENSMUSG00000021532	187	214	165	173	276	179	Fastkd3
ENSMUSG00000061397	33132	36883	32234	28890	42128	30586	Krt79
ENSMUSG00000098132	787	586	674	640	982	737	Rassf10
ENSMUSG00000098130	2	4	5	4	0	0	Gm17797
ENSMUSG00000061393	97	107	90	64	98	64	Acvr2b
ENSMUSG00000053318	26	17	29	16	50	39	Slamf8
ENSMUSG00000098134	273	258	205	269	384	284	Rnf113a2
ENSMUSG00000043421	547	439	539	501	428	361	Hilpda
ENSMUSG00000046415	53	47	41	34	45	32	B430212C06Rik
ENSMUSG00000043424	11	19	7	22	43	14	Eif3j2
ENSMUSG00000046410	1587	1233	1189	969	1539	1074	Kcnk6
ENSMUSG00000044499	23	9	17	31	20	20	Hs3st5
ENSMUSG00000083359	2	5	4	3	0	1	Gm12656
ENSMUSG00000021536	563	464	431	163	357	376	Adcy2
ENSMUSG00000079604	100	95	72	132	204	71	Gm13219
ENSMUSG00000031982	121	123	95	117	171	118	Arv1
ENSMUSG00000084081	3	5	3	6	5	1	Gm12057
ENSMUSG00000081264	1	1	1	1	0	0	Gm14021
ENSMUSG00000064609	1	1	0	0	0	1	Gm25635
ENSMUSG00000038822	1010	1023	731	1175	1649	707	Hace1
ENSMUSG00000022243	3	10	12	3	8	6	Slc45a2
ENSMUSG00000035506	41	25	25	20	15	12	Slc12a8
ENSMUSG00000035505	259	179	217	152	265	217	Cox18
ENSMUSG00000020715	1424	1222	1006	1158	1867	969	Ern1
ENSMUSG00000020493	358	189	274	252	573	439	Prr11
ENSMUSG00000020492	219	157	144	152	306	125	Ska2
ENSMUSG00000035509	23	23	14	19	19	10	Fbxl21
ENSMUSG00000038828	1829	1429	1496	1131	1613	1437	Tmem214
ENSMUSG00000020496	3854	2429	3256	1823	2951	2915	Rnf187
ENSMUSG00000020495	506	408	415	363	498	440	Smg8
ENSMUSG00000029925	126	81	84	64	93	76	Tbxas1
ENSMUSG00000009112	3093	2508	2302	2552	3803	2790	Bcl2l13
ENSMUSG00000033904	304	399	251	512	753	187	Ccp110
ENSMUSG00000008318	219	117	170	53	113	90	Relt
ENSMUSG00000064605	0	0	0	0	0	1	Gm22220
ENSMUSG00000029290	1030	1096	712	1315	1682	758	Zfp326
ENSMUSG00000028378	1628	1843	1160	2350	3251	1748	Ptgr1
ENSMUSG00000030772	1840	1777	1502	952	1775	1457	Dkk3
ENSMUSG00000070324	0	0	0	2	0	0	Fbxw22
ENSMUSG00000064061	165	179	150	204	362	100	Dzip3
ENSMUSG00000033909	1658	1459	1022	1257	1860	1284	Usp36
ENSMUSG00000028373	71	57	54	20	38	40	Astn2
ENSMUSG00000028370	552	565	514	991	1838	824	Pappa
ENSMUSG00000064065	9	11	9	11	24	15	Ipcef1
ENSMUSG00000076802	0	0	0	0	1	0	Trav6n-6
ENSMUSG00000088303	1	0	1	0	1	0	Gm23382
ENSMUSG00000083534	4	6	1	3	8	4	H2-M6-ps
ENSMUSG00000088307	0	0	1	0	0	0	Gm24505
ENSMUSG00000018387	22	26	12	5	25	15	Shroom1
ENSMUSG00000088308	0	2	1	1	0	0	Gm24507
ENSMUSG00000020007	76	77	44	22	50	37	Il20ra
ENSMUSG00000031980	68	23	35	9	18	21	Agt
ENSMUSG00000068579	0	0	0	1	0	0	Rpl7a-ps3
ENSMUSG00000025912	92	117	68	118	143	48	Mybl1
ENSMUSG00000066510	24	14	32	10	27	23	Ankdd1a
ENSMUSG00000059473	0	0	1	0	0	0	Olfr979
ENSMUSG00000022894	722	476	698	340	705	569	Adamts5
ENSMUSG00000094191	0	0	1	0	1	0	Rpl31-ps14
ENSMUSG00000030774	985	931	788	857	1416	911	Pak1
ENSMUSG00000068574	0	0	2	1	0	0	Olfr458
ENSMUSG00000022897	2014	1629	1475	1184	1911	1551	Dyrk1a
ENSMUSG00000119653	1	0	0	0	0	0	Gm24097
ENSMUSG00000095071	0	0	1	44	50	15	AF067061
ENSMUSG00000030062	3955	3073	2886	3159	4328	4213	Rpn1
ENSMUSG00000035764	1469	1186	837	1432	1868	872	Fbxo45
ENSMUSG00000030527	1398	937	1082	650	1121	1048	Crtc3
ENSMUSG00000025261	9916	9261	10424	12410	18504	9306	Huwe1
ENSMUSG00000078521	33	51	36	33	68	28	Aunip
ENSMUSG00000095079	28	11	12	32	52	38	Igha
ENSMUSG00000079477	7557	5225	5767	4580	6620	5622	Rab7
ENSMUSG00000025916	4	3	3	1	3	2	Ppp1r42
ENSMUSG00000020140	1730	1647	1452	858	1721	889	Lgr5
ENSMUSG00000020143	193	275	291	258	410	310	Dock2
ENSMUSG00000020142	1349	939	865	695	1193	1045	Slc1a4
ENSMUSG00000020009	1868	2063	1441	1024	1417	1449	Ifngr1
ENSMUSG00000045140	177	163	93	162	220	120	Pigw
ENSMUSG00000051977	260	284	165	290	440	164	Prdm9
ENSMUSG00000064606	1	0	1	0	0	0	Gm25899
ENSMUSG00000070323	22	29	19	24	24	27	Mmp27
ENSMUSG00000064602	9	21	6	24	17	6	Snora41
ENSMUSG00000064600	2	2	2	0	3	0	Gm25636
ENSMUSG00000070327	788	903	976	1735	5478	3321	Rnf213
ENSMUSG00000022895	6267	4742	4537	3552	5784	4801	Ets2
ENSMUSG00000018565	864	672	798	701	945	892	Elp5
ENSMUSG00000018566	4193	2092	2748	755	1417	2015	Slc2a4
ENSMUSG00000018567	7217	4486	6519	3470	4945	4849	Gabarap
ENSMUSG00000022890	3537	2579	2820	2058	3001	2237	Atp5j
ENSMUSG00000022893	1409	1743	1366	1447	1378	1068	Adamts1
ENSMUSG00000022892	19880	15368	15352	9848	17966	14646	App
ENSMUSG00000017652	27	32	33	37	56	45	Cd40
ENSMUSG00000055560	52	27	24	40	65	21	Zfp459
ENSMUSG00000022899	56	245	20	256	253	411	Slc15a2
ENSMUSG00000018569	14	8	14	8	7	7	Cldn7
ENSMUSG00000052957	5547	3721	4826	2182	3757	3935	Gas1
ENSMUSG00000043964	528	327	475	214	321	356	Orai3
ENSMUSG00000052955	1	3	1	0	1	1	Cpvl
ENSMUSG00000039081	1231	789	1009	504	973	782	Zfp503
ENSMUSG00000039086	259	224	151	220	280	160	Ss18l1
ENSMUSG00000039087	2930	1975	2254	1403	2478	2133	Rreb1
ENSMUSG00000052407	72	82	81	102	114	71	Ccdc171
ENSMUSG00000052406	693	893	560	775	1196	723	Rexo4
ENSMUSG00000044367	923	557	762	568	818	747	Slc16a13
ENSMUSG00000044813	1294	787	989	924	1618	991	Shb
ENSMUSG00000044364	7	9	13	1	12	4	Tmem74b
ENSMUSG00000044362	3	4	5	10	7	7	Ccdc89
ENSMUSG00000044361	60	75	37	55	45	25	BC024139
ENSMUSG00000044816	10	6	9	10	13	8	D630023F18Rik
ENSMUSG00000001134	254	197	223	156	243	204	Uxt
ENSMUSG00000001131	99	99	99	86	80	103	Timp1
ENSMUSG00000026608	1199	1148	892	880	1484	1021	Kctd3
ENSMUSG00000001138	1288	817	967	496	972	769	Cnnm3
ENSMUSG00000087305	59	64	41	59	85	28	A430035B10Rik
ENSMUSG00000092704	0	0	0	1	0	2	Gm24512
ENSMUSG00000087303	0	0	2	1	2	0	Lipo2
ENSMUSG00000051817	292	262	223	107	219	134	Sox12
ENSMUSG00000048814	52	51	30	19	43	35	Lonrf2
ENSMUSG00000086837	15	13	13	13	11	5	Gm16618
ENSMUSG00000051811	108	95	89	49	77	55	Cox6b2
ENSMUSG00000034022	2085	1794	1637	1451	2373	1780	Cpsf1
ENSMUSG00000002804	464	309	344	212	340	303	Nudt14
ENSMUSG00000096674	0	0	0	0	0	1	Mup15
ENSMUSG00000036687	903	566	692	535	742	489	Tmem184a
ENSMUSG00000036686	1725	1296	1361	968	1566	1129	Cc2d1a
ENSMUSG00000038954	117	111	109	849	939	598	Supt3
ENSMUSG00000058444	631	425	543	321	433	444	Map2k5
ENSMUSG00000002808	940	655	744	334	483	550	Epdr1
ENSMUSG00000096678	1	0	0	0	0	1	Trav9-4
ENSMUSG00000058440	976	856	817	643	1087	911	Nrf1
ENSMUSG00000024497	27	21	31	8	17	30	Pou4f3
ENSMUSG00000073980	4	0	3	9	16	15	Gm9574
ENSMUSG00000073982	2085	1302	1759	913	1616	1580	Rhog
ENSMUSG00000024493	867	1075	994	1936	2472	1176	Lars
ENSMUSG00000039084	236	204	267	161	247	175	Chad
ENSMUSG00000032232	998	1284	1186	784	1408	912	Cgnl1
ENSMUSG00000040390	720	460	573	352	579	492	Map3k10
ENSMUSG00000039883	134	202	201	92	187	162	Lrrc17
ENSMUSG00000032238	5051	5635	4176	7332	9034	3011	Rora
ENSMUSG00000039887	509	420	479	303	470	381	Alg14
ENSMUSG00000079699	8	2	6	4	0	0	Gm6592
ENSMUSG00000024498	1591	1330	1198	1250	2180	1419	Tcerg1
ENSMUSG00000037628	142	67	88	116	199	160	Cdkn3
ENSMUSG00000030909	5	7	5	10	2	7	Anks4b
ENSMUSG00000011832	1167	867	866	642	1172	790	Evi5l
ENSMUSG00000036602	28	71	34	41	44	50	Alx1
ENSMUSG00000053137	427	374	330	322	554	349	Mapk11
ENSMUSG00000037621	117	80	95	22	77	56	Atoh8
ENSMUSG00000037622	4034	2342	3023	1350	2957	2603	Wdtc1
ENSMUSG00000037624	358	286	245	202	453	289	Kcnk2
ENSMUSG00000030905	1882	1683	2197	919	1545	1271	Crym
ENSMUSG00000084967	0	0	0	0	1	1	Gm12296
ENSMUSG00000037627	2	1	4	3	4	2	Rgs22
ENSMUSG00000035189	25	15	20	13	25	14	Ano4
ENSMUSG00000040249	22550	15254	17621	7271	13685	14691	Lrp1
ENSMUSG00000039089	569	515	406	385	610	458	L3mbtl3
ENSMUSG00000014547	294	337	250	248	483	230	Wdfy2
ENSMUSG00000002332	2935	2246	2379	1737	2474	1866	Dhrs1
ENSMUSG00000040242	1710	1767	1228	1926	2922	1357	Fgfr1op2
ENSMUSG00000044814	4	5	5	2	3	1	Olfr543
ENSMUSG00000111375	20	17	26	29	35	11	Btbd8
ENSMUSG00000026696	879	772	707	743	1191	665	Vamp4
ENSMUSG00000030158	2	7	3	4	0	3	Clec12b
ENSMUSG00000036533	1376	919	1076	549	1098	869	Cdc42ep3
ENSMUSG00000036537	92	99	95	82	116	112	Rnf113a1
ENSMUSG00000033016	3010	1985	2447	1349	2439	1927	Nfatc1
ENSMUSG00000097061	219	182	135	119	150	65	9330151L19Rik
ENSMUSG00000055319	1198	1000	975	1018	1678	1203	Sec23ip
ENSMUSG00000032637	4213	3617	3040	3029	4770	2897	Atxn2l
ENSMUSG00000051346	517	401	374	311	402	412	Spryd4
ENSMUSG00000034024	3740	4614	4122	5291	7416	6100	Cct2
ENSMUSG00000042961	572	398	467	203	327	387	Egflam
ENSMUSG00000024273	173	179	191	186	269	196	2700062C07Rik
ENSMUSG00000000263	0	0	1	0	0	0	Glra1
ENSMUSG00000024271	944	1343	959	1455	1952	1223	Elp2
ENSMUSG00000024270	3395	2984	2813	2662	4370	3048	Slc39a6
ENSMUSG00000024277	1977	1746	1550	1380	2115	1549	Mapre2
ENSMUSG00000050147	4	3	4	8	13	9	F2rl3
ENSMUSG00000050144	1035	731	772	578	956	783	Slc25a44
ENSMUSG00000026875	138	134	99	668	906	327	Traf1
ENSMUSG00000038871	873	908	694	648	1004	692	Bpgm
ENSMUSG00000067336	1412	1317	1252	1141	2154	971	Bmpr2
ENSMUSG00000023206	374	422	308	437	582	305	Il15ra
ENSMUSG00000037486	1091	1200	993	1195	2049	807	Asxl2
ENSMUSG00000071052	6	7	3	8	12	7	Rpl7a-ps5
ENSMUSG00000015721	0	0	0	1	0	0	Nlrp5
ENSMUSG00000071054	2419	2491	1825	2228	3291	2093	Safb
ENSMUSG00000089171	0	1	0	0	0	0	Gm22430
ENSMUSG00000056427	3026	2322	2658	711	1759	2035	Slit3
ENSMUSG00000054808	18802	14934	15939	12012	19798	16011	Actn4
ENSMUSG00000061171	20	25	12	13	21	10	Slc38a11
ENSMUSG00000030157	1164	957	1235	701	993	915	Clec2d
ENSMUSG00000059316	20620	12111	17390	7286	14214	13457	Slc27a4
ENSMUSG00000027455	2450	1957	2070	1803	2544	2196	Nsfl1c
ENSMUSG00000097069	1	3	4	1	1	0	Gm16998
ENSMUSG00000069670	0	0	4	2	2	1	Nkain2
ENSMUSG00000061950	1756	1590	1370	1600	2401	1702	Ppp4r1
ENSMUSG00000027004	219	119	154	47	116	118	Frzb
ENSMUSG00000028747	2	2	1	4	4	3	Htr6
ENSMUSG00000062210	1186	1491	1175	1316	2209	1145	Tnfaip8
ENSMUSG00000061959	14	7	16	9	7	10	Ces1e
ENSMUSG00000056666	842	579	652	454	503	474	Retsat
ENSMUSG00000041261	55	46	32	33	37	43	Car8
ENSMUSG00000094018	2	2	1	2	1	2	S100a2
ENSMUSG00000091613	0	0	0	0	0	1	Gm17046
ENSMUSG00000005698	2057	2053	1581	1765	2981	1855	Ctcf
ENSMUSG00000005699	151	117	129	96	105	96	Pard6a
ENSMUSG00000050368	9	6	23	6	6	18	Hoxd10
ENSMUSG00000000409	49	34	44	35	96	72	Lck
ENSMUSG00000031506	127	75	86	62	123	140	Ptpn7
ENSMUSG00000005696	1	1	2	1	2	2	Sh2d1a
ENSMUSG00000053746	547	369	368	454	706	358	Ptrh1
ENSMUSG00000031503	6419	3807	5652	1490	3210	4594	Col4a2
ENSMUSG00000031502	8169	4998	7016	2083	4191	5740	Col4a1
ENSMUSG00000090112	680	742	737	1787	2270	776	Shprh
ENSMUSG00000090637	13	9	9	210	350	90	Gm6189
ENSMUSG00000049287	323	205	248	191	255	226	Iba57
ENSMUSG00000049285	83	44	63	52	89	64	Mblac1
ENSMUSG00000086308	20	15	11	11	31	5	G630016G05Rik
ENSMUSG00000063605	239	174	209	62	158	148	Ccdc102a
ENSMUSG00000049281	54	51	44	21	56	50	Scn3b
ENSMUSG00000038593	224	193	169	154	204	143	Tctn1
ENSMUSG00000037254	37	47	37	31	24	45	Itih2
ENSMUSG00000060600	17105	12988	11505	4478	7937	10273	Eno3
ENSMUSG00000060601	2422	1748	1923	1406	2065	1608	Nr1h2
ENSMUSG00000081467	1	0	1	0	0	0	Gm13337
ENSMUSG00000049288	740	486	692	246	461	552	Lix1l
ENSMUSG00000034353	937	623	805	251	480	558	Ramp1
ENSMUSG00000022698	3133	2781	2129	3002	4709	2486	Naa50
ENSMUSG00000030278	181	118	236	70	94	107	Cidec
ENSMUSG00000030279	597	533	454	418	752	546	C2cd5
ENSMUSG00000030276	112	124	78	135	151	75	Ttll3
ENSMUSG00000021835	1001	986	955	353	473	622	Bmp4
ENSMUSG00000030275	1245	1194	799	936	1748	921	Etnk1
ENSMUSG00000090115	230	227	139	166	270	131	Usp49
ENSMUSG00000097726	1	3	2	3	3	3	9530036O11Rik
ENSMUSG00000097725	5	0	3	3	6	1	4930593A02Rik
ENSMUSG00000033233	147	131	114	83	151	101	Trim45
ENSMUSG00000036972	7	4	6	0	1	3	Zic4
ENSMUSG00000029630	1	0	0	0	0	0	Cyp3a25
ENSMUSG00000059173	51	79	41	43	59	42	Pde1a
ENSMUSG00000004568	1622	1362	1258	1187	1988	1180	Arhgef18
ENSMUSG00000004565	918	816	668	684	1009	672	Pnpla6
ENSMUSG00000086353	2	6	3	2	1	1	Gm13481
ENSMUSG00000004561	446	523	367	452	624	329	Mettl17
ENSMUSG00000004562	1242	1045	1088	496	990	849	Arhgef40
ENSMUSG00000078680	0	0	0	2	0	0	Mup10
ENSMUSG00000075266	91	55	85	71	89	85	Cenpw
ENSMUSG00000022159	231	227	144	155	206	151	Rab2b
ENSMUSG00000073565	99	95	100	71	144	86	Prr16
ENSMUSG00000076586	0	0	1	0	0	0	Igkv8-21
ENSMUSG00000073569	1	0	0	0	0	0	Gm10540
ENSMUSG00000073568	0	1	3	1	3	0	Arl14epl
ENSMUSG00000022150	2295	1845	2001	908	1617	1664	Dab2
ENSMUSG00000022151	264	292	215	267	403	200	Ttc33
ENSMUSG00000042616	126	107	114	81	117	115	Oscp1
ENSMUSG00000066357	1225	817	1059	636	1114	940	Wdr6
ENSMUSG00000042672	117	110	96	152	152	80	Dcst1
ENSMUSG00000047731	4412	2805	3179	2448	3866	3367	Wbp1l
ENSMUSG00000047730	3394	2392	1993	889	2008	1509	Fcgbp
ENSMUSG00000077194	0	0	0	0	0	1	Gm23431
ENSMUSG00000047044	267	173	225	131	211	155	D030056L22Rik
ENSMUSG00000047735	116	139	133	350	1141	273	Samd9l
ENSMUSG00000097616	34	31	33	28	40	19	1110019D14Rik
ENSMUSG00000047040	48	29	38	21	17	10	Prr15l
ENSMUSG00000072612	9	4	8	14	21	7	Gm10382
ENSMUSG00000077221	0	0	0	0	0	1	Snord67
ENSMUSG00000077222	21	27	9	19	27	16	Gm22270
ENSMUSG00000077227	0	1	0	0	0	0	Gm22272
ENSMUSG00000067276	78	94	90	77	94	82	Capn6
ENSMUSG00000038102	1168	1208	1025	1183	1785	1283	Trappc11
ENSMUSG00000071311	3	3	1	1	3	1	Gpr31b
ENSMUSG00000030555	349	366	310	316	468	284	Ttc23
ENSMUSG00000081076	2	2	1	1	1	0	Rpsa-ps4
ENSMUSG00000081077	4	12	20	4	0	6	Gm13899
ENSMUSG00000036995	549	503	492	264	488	396	Asap3
ENSMUSG00000026283	518	521	329	493	626	355	Ing5
ENSMUSG00000036990	1949	2039	1374	1996	3022	1328	Otud4
ENSMUSG00000036992	624	472	527	403	591	506	Nxt1
ENSMUSG00000031828	196	153	223	103	189	173	Klhl36
ENSMUSG00000026285	7	4	5	14	22	37	Pdcd1
ENSMUSG00000063808	401	414	385	300	579	358	Gpatch1
ENSMUSG00000064859	1	0	0	0	0	0	Gm24524
ENSMUSG00000090489	6	8	9	4	4	2	Gm17415
ENSMUSG00000028397	470	583	530	712	1114	446	Kdm4c
ENSMUSG00000100505	1	1	0	0	2	1	Gm13283
ENSMUSG00000063801	1571	1222	1156	943	1467	1231	Ap3s2
ENSMUSG00000063800	502	588	388	694	921	595	Prpf38a
ENSMUSG00000063802	1007	647	877	607	885	1006	Hspbp1
ENSMUSG00000063804	1	0	0	1	2	1	Lin28b
ENSMUSG00000097977	1	1	0	0	0	0	Gm5652
ENSMUSG00000029810	1629	1193	1402	692	1200	1245	Tmem176b
ENSMUSG00000090095	4	1	3	0	0	0	Rpl29-ps1
ENSMUSG00000022332	498	302	366	138	287	300	Khdrbs3
ENSMUSG00000029814	19	16	22	17	16	12	Igf2bp3
ENSMUSG00000029815	368	241	288	199	256	202	Malsu1
ENSMUSG00000022336	3021	3108	1905	3582	5227	2185	Eif3e
ENSMUSG00000090093	46	46	59	62	91	22	Gm14399
ENSMUSG00000006585	291	356	275	259	417	318	Cdt1
ENSMUSG00000022339	339	258	225	246	389	206	Ebag9
ENSMUSG00000006587	88	67	76	17	47	62	Snai3
