ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000045004	6	3	9	1	2	7	Spata21
ENSMUSG00000054074	108	82	88	58	108	68	Skida1
ENSMUSG00000054072	67	79	63	100	525	115	Iigp1
ENSMUSG00000045007	135	90	81	78	94	54	Tubg2
ENSMUSG00000001270	2054	1503	2023	797	1771	1415	Ckb
ENSMUSG00000032551	280	261	233	243	354	226	1110059G10Rik
ENSMUSG00000058625	8	6	6	8	10	10	Gm17383
ENSMUSG00000010392	1211	1044	888	884	1379	1004	Gosr1
ENSMUSG00000006958	149	157	114	71	104	94	Chrd
ENSMUSG00000041530	3333	2855	2495	2367	3849	2637	Ago1
ENSMUSG00000082057	14	20	24	19	5	11	Gm15789
ENSMUSG00000034401	256	225	215	169	232	190	Spata6
ENSMUSG00000092021	2	2	2	5	3	1	Gbp11
ENSMUSG00000082054	1	0	2	0	0	1	Psmb6-ps
ENSMUSG00000082051	5	7	7	9	2	1	Gm16072
ENSMUSG00000092239	4	1	4	3	3	2	1700031A10Rik
ENSMUSG00000096225	121	101	94	30	75	52	Lhx8
ENSMUSG00000048285	4268	3721	3262	2486	4636	3488	Frmd6
ENSMUSG00000037601	553	359	425	414	552	558	Nme1
ENSMUSG00000048280	165	206	160	191	369	90	Zfp738
ENSMUSG00000048281	0	7	5	0	6	10	Dleu7
ENSMUSG00000058568	1	0	0	0	0	0	Defb50
ENSMUSG00000058569	4082	3100	3395	3072	4053	3863	Tmed9
ENSMUSG00000036766	2	4	3	2	5	2	Dner
ENSMUSG00000036764	97	82	63	46	77	48	Dnajc12
ENSMUSG00000040296	259	300	308	581	1496	1068	Ddx58
ENSMUSG00000036768	201	222	280	439	732	279	Kif15
ENSMUSG00000036769	352	306	314	359	699	315	Wdr44
ENSMUSG00000058567	4	8	10	5	1	5	Gm2531
ENSMUSG00000021583	370	472	312	857	1414	619	Erap1
ENSMUSG00000021587	13	15	17	27	34	19	Pcsk1
ENSMUSG00000074384	89	109	125	103	161	109	AI429214
ENSMUSG00000021585	3780	4257	4095	6840	10260	4467	Cast
ENSMUSG00000086992	6	7	8	1	1	1	Gm15941
ENSMUSG00000092225	0	4	1	0	0	0	Gm2381
ENSMUSG00000074388	0	1	0	0	0	0	Gm5544
ENSMUSG00000021589	406	357	306	220	361	232	Rhobtb3
ENSMUSG00000070504	0	2	0	0	0	0	Fcrl6
ENSMUSG00000084848	1	0	0	1	0	0	4933408N05Rik
ENSMUSG00000031621	0	2	0	0	0	0	Isx
ENSMUSG00000037608	1330	1599	1221	2275	3374	993	Bclaf1
ENSMUSG00000031448	133	107	102	29	58	83	Adprhl1
ENSMUSG00000027643	4	0	1	1	0	0	Ghrh
ENSMUSG00000031626	702	588	504	403	532	334	Sorbs2
ENSMUSG00000084840	0	1	1	0	0	1	Gm11468
ENSMUSG00000037149	1191	1478	1452	2284	3622	1548	Ddx1
ENSMUSG00000037148	1023	957	969	694	1073	956	Arhgap10
ENSMUSG00000001095	9	8	6	3	8	2	Slc13a2
